PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV,STL_TOV,EFG_PCT,TS_PCT,GP_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,TOV_RANK,PF_RANK,PTS_RANK,AST_TOV_RANK,STL_TOV_RANK,EFG_PCT1,TS_PCT1
951,Ray Allen,1300,46350.0,8567,18955,0.452,2973.0,7429.0,0.4,4398,4920,0.894,1230.0,4042.0,5272.0,4361,1451.0,244.0,2709.0,2858,24505,1.61,0.536,0.53,0.58,24,16,30,28,1625,3,4,186,63,92,193,317,159,253,101,59,652,43,104,29,1210,1744,619,412
947,Allen Iverson,914,37582.0,8467,19906,0.425,1059.0,3383.0,0.313,6375,8168,0.78,745.0,2649.0,3394.0,5624,1983.0,164.0,3262.0,1777,24368,1.724,0.608,0.452,0.518,250,59,33,20,2438,145,97,1439,16,20,1311,589,372,527,53,14,906,22,556,30,1048,1328,2546,1798
787,Charles Barkley,1073,39331.0,8435,15605,0.541,538.0,2020.0,0.266,6349,8643,0.735,4260.0,8286.0,12546.0,4215,1648.0,888.0,3376.0,3287,23757,1.249,0.488,0.558,0.612,106,45,35,61,261,410,285,1872,17,13,2192,5,15,19,110,28,129,18,45,31,1826,2079,334,183
305,Robert Parish,1611,45704.0,9614,17914,0.537,0.0,6.0,0.0,4106,5694,0.721,4598.0,10117.0,14715.0,2180,1219.0,2361.0,3183.0,4443,23334,0.662,0.366,0.537,0.571,1,18,19,33,284,2760,2646,2760,75,58,2397,2,5,8,416,93,10,24,3,32,3027,2768,533,527
76504,Adrian Dantley,955,34151.0,8169,15121,0.54,7.0,41.0,0.171,6832,8351,0.818,2207.0,3248.0,5455.0,2830,944.0,150.0,2503.0,2550,23177,1.073,0.341,0.54,0.617,205,94,39,69,263,1968,1852,2420,12,16,738,75,261,239,273,212,961,62,192,33,2134,2897,493,158
2548,Dwyane Wade,1054,35777.0,8454,17617,0.48,549.0,1874.0,0.293,5708,7463,0.765,1258.0,3675.0,4933.0,5701,1620.0,885.0,3326.0,2328,23165,1.714,0.487,0.495,0.554,118,74,34,36,945,402,319,1661,28,29,1613,306,206,292,48,32,131,19,272,34,1056,2082,1387,827
76127,Elgin Baylor,846,33863.0,8693,20171,0.431,,,,5763,7391,0.78,,,11463.0,3650,,,,2596,23149,,,0.431,0.494,358,101,27,19,2279,3711,3711,3711,27,31,1326,4015,4015,28,160,4015,4015,3813,173,35,3813,3813,3031,2498
101108,Chris Paul,1342,45281.0,8106,17257,0.47,1843.0,4978.0,0.37,4850,5570,0.871,788.0,5148.0,5936.0,12436,2702.0,215.0,3070.0,3158,22905,4.051,0.88,0.523,0.581,17,19,41,39,1153,27,25,496,44,67,277,561,84,201,2,2,736,29,60,36,34,504,740,404
203081,Damian Lillard,900,32612.0,7266,16568,0.439,2804.0,7556.0,0.371,5262,5853,0.899,534.0,3311.0,3845.0,6069,874.0,267.0,2541.0,1708,22598,2.388,0.344,0.523,0.59,272,118,66,45,2032,4,3,484,35,48,185,827,248,446,41,255,594,57,600,37,419,2884,738,313
17,Clyde Drexler,1086,37538.0,8335,17673,0.472,827.0,2603.0,0.318,4698,5962,0.788,2615.0,4062.0,6677.0,6125,2207.0,719.0,2977.0,3285,22195,2.057,0.741,0.495,0.547,98,60,36,35,1096,243,180,1373,50,46,1189,46,158,140,39,9,182,32,46,38,657,818,1398,985
56,Gary Payton,1335,47117.0,8708,18698,0.466,1132.0,3570.0,0.317,3265,4480,0.729,1392.0,3877.0,5269.0,8966,2445.0,285.0,3030.0,3217,21813,2.959,0.807,0.496,0.528,18,13,26,30,1256,125,80,1379,142,116,2276,265,179,254,11,5,550,31,54,39,163,667,1381,1550
1449,Larry Bird,897,34443.0,8591,17334,0.496,649.0,1727.0,0.376,3960,4471,0.886,1757.0,7217.0,8974.0,5695,1556.0,755.0,2816.0,2279,21791,2.022,0.553,0.514,0.564,274,90,29,38,702,334,354,402,84,118,214,158,27,58,49,41,166,37,289,40,688,1638,900,643
76882,Hal Greer,1122,39788.0,8504,18811,0.452,,,,4578,5717,0.801,,,5665.0,4540,,,,3855,21586,,,0.452,0.506,74,41,32,29,1621,3711,3711,3711,56,57,958,4015,4015,222,92,4015,4015,3813,18,41,3813,3813,2541,2161
76144,Walt Bellamy,1043,38940.0,7914,15340,0.516,,,,5113,8088,0.632,264.0,481.0,14241.0,2544,52.0,48.0,,3536,20941,,,0.516,0.554,126,48,46,66,413,3711,3711,3711,36,22,3605,1346,1628,12,322,2155,1697,3813,29,42,3813,3813,866,831
2200,Pau Gasol,1226,41001.0,7980,15729,0.507,179.0,486.0,0.368,4755,6311,0.753,3085.0,8220.0,11305.0,3925,606.0,1941.0,2638.0,2632,20894,1.488,0.23,0.513,0.565,42,32,45,59,490,815,845,526,47,38,1817,28,18,29,133,483,22,48,157,43,1410,3328,932,642
77847,Bob Pettit,792,30690.0,7349,16872,0.436,,,,6182,8119,0.761,,,12849.0,2369,,,,2529,20880,,,0.436,0.511,458,148,62,42,2125,3711,3711,3711,20,21,1679,4015,4015,18,369,4015,4015,3813,199,44,3813,3813,2934,2041
764,David Robinson,987,34273.0,7365,14221,0.518,25.0,100.0,0.25,6035,8201,0.736,3083.0,7414.0,10497.0,2441,1388.0,2954.0,2417.0,2835,20790,1.01,0.574,0.519,0.583,161,93,61,92,394,1507,1475,1952,22,19,2176,29,24,35,350,66,6,75,111,45,2253,1502,816,385
76804,George Gervin,791,26536.0,8045,15747,0.511,77.0,259.0,0.297,4541,5383,0.844,1186.0,2421.0,3607.0,2214,941.0,670.0,2137.0,2331,20708,0.925,0.391,0.513,0.572,462,257,43,58,457,1124,1113,1616,58,74,455,334,423,486,401,214,199,111,268,46,2509,2642,923,522
200746,LaMarcus Aldridge,1076,36243.0,8311,16872,0.493,227.0,710.0,0.32,3709,4563,0.813,2776.0,5960.0,8736.0,2076,758.0,1187.0,1643.0,2598,20558,1.264,0.461,0.499,0.544,104,70,37,42,742,722,701,1352,97,109,791,38,51,61,450,337,67,228,172,47,1779,2232,1305,1042
782,Mitch Richmond,976,34301.0,7305,16038,0.455,1326.0,3417.0,0.388,4561,5365,0.85,881.0,2920.0,3801.0,3398,1211.0,254.0,2579.0,2503,20497,1.318,0.47,0.497,0.557,179,91,64,51,1527,76,94,265,57,75,398,506,322,453,189,94,620,53,210,48,1683,2175,1362,769
2207,Joe Johnson,1277,44235.0,7823,17720,0.441,1978.0,5331.0,0.371,2783,3468,0.802,1067.0,3992.0,5059.0,5001,1071.0,260.0,2451.0,2252,20407,2.04,0.437,0.497,0.53,30,21,48,34,1939,21,19,485,208,228,946,381,167,278,73,151,609,70,307,49,671,2365,1348,1480
203507,Giannis Antetokounmpo,851,27949.0,7435,13521,0.55,537.0,1892.0,0.284,4879,7040,0.693,1589.0,6851.0,8440.0,4205,953.0,1058.0,2569.0,2520,20286,1.637,0.371,0.57,0.61,350,219,54,108,220,413,314,1758,42,33,2854,203,37,69,113,205,93,54,203,50,1167,2736,260,189
1472,Tom Chambers,1107,33921.0,7378,15749,0.468,227.0,740.0,0.307,5066,6274,0.807,1942.0,4761.0,6703.0,2283,885.0,627.0,2549.0,3742,20049,0.896,0.347,0.476,0.542,83,99,60,57,1191,722,685,1508,38,39,875,119,112,135,380,246,221,55,21,51,2581,2872,1900,1117
1712,Antawn Jamison,1083,37638.0,7679,17024,0.451,1163.0,3365.0,0.346,3521,4860,0.724,2557.0,5600.0,8157.0,1761,1048.0,421.0,1714.0,2580,20042,1.027,0.611,0.485,0.523,100,58,52,40,1646,115,99,905,116,93,2343,48,60,74,548,161,348,204,178,52,2219,1315,1638,1670
304,John Stockton,1504,47766.0,7039,13658,0.515,845.0,2202.0,0.384,4788,5796,0.826,966.0,3085.0,4051.0,15806,3265.0,315.0,4244.0,3942,19711,3.724,0.769,0.546,0.608,6,10,79,103,418,236,256,311,46,51,635,442,288,411,1,1,485,4,15,53,49,745,431,196
77264,Bernard King,874,29417.0,7830,15109,0.518,23.0,134.0,0.172,3972,5444,0.73,1704.0,3356.0,5060.0,2863,866.0,230.0,2791.0,2885,19655,1.026,0.31,0.519,0.561,310,180,47,70,388,1533,1360,2418,82,71,2263,168,241,277,264,265,682,38,97,54,2221,3053,812,689
361,Clifford Robinson,1380,42560.0,7389,16875,0.438,1253.0,3515.0,0.356,3560,5165,0.689,1852.0,4454.0,6306.0,3094,1402.0,1390.0,2502.0,4175,19591,1.237,0.56,0.475,0.512,14,25,59,41,2060,87,85,718,114,80,2926,134,130,171,222,64,47,63,8,55,1850,1587,1920,2015
1453,Walter Davis,1033,28859.0,8118,15871,0.511,157.0,577.0,0.272,3128,3676,0.851,889.0,2164.0,3053.0,3878,1280.0,133.0,2541.0,2454,19521,1.526,0.504,0.516,0.558,131,194,40,53,450,858,780,1840,158,198,396,500,507,609,138,80,1039,57,224,56,1341,1925,856,744
2730,Dwight Howard,1242,39458.0,7051,12016,0.587,22.0,103.0,0.214,5361,9455,0.567,4151.0,10476.0,14627.0,1676,1081.0,2228.0,3302.0,3912,19485,0.508,0.327,0.588,0.602,37,44,77,162,125,1553,1460,2219,33,7,4096,7,4,10,584,146,13,21,16,57,3264,2991,179,228
2225,Tony Parker,1254,38279.0,7777,15830,0.491,519.0,1603.0,0.324,3400,4525,0.751,441.0,2955.0,3396.0,7036,1053.0,98.0,2865.0,2059,19473,2.456,0.368,0.508,0.546,35,51,49,54,755,426,383,1294,129,112,1844,976,312,526,21,155,1260,34,387,58,383,2751,1050,996
187,Terry Cummings,1183,33895.0,8045,16628,0.484,44.0,149.0,0.295,3326,4711,0.706,3183.0,5447.0,8630.0,2190,1255.0,650.0,2200.0,3836,19460,0.995,0.57,0.485,0.52,52,100,43,44,878,1310,1311,1635,136,103,2636,26,64,67,409,84,205,100,19,59,2401,1528,1641,1742
2037,Jamal Crawford,1327,38994.0,6752,16467,0.41,2221.0,6379.0,0.348,3694,4286,0.862,466.0,2482.0,2948.0,4541,1179.0,271.0,2476.0,2008,19419,1.834,0.476,0.477,0.529,20,47,90,47,2886,12,8,861,98,134,315,941,410,635,91,104,583,66,426,60,913,2146,1864,1508
600005,Bob Lanier,959,32103.0,7761,15092,0.514,2.0,13.0,0.154,3724,4858,0.767,1843.0,4853.0,9698.0,3007,777.0,1100.0,1112.0,3048,19248,1.105,0.398,0.514,0.559,200,124,50,72,428,2341,2358,2489,96,94,1581,136,107,45,237,319,84,486,73,61,2078,2606,902,733
698,Eddie Johnson,1199,32603.0,7727,16361,0.472,562.0,1679.0,0.335,3186,3792,0.84,1786.0,3046.0,4832.0,2550,739.0,180.0,2076.0,2962,19202,1.228,0.356,0.489,0.533,48,119,51,48,1079,396,366,1077,152,182,487,149,295,299,321,353,846,120,83,62,1875,2826,1526,1394
76832,Gail Goodrich,1031,33527.0,7431,16300,0.456,,,,4319,5354,0.807,453.0,651.0,3279.0,4805,545.0,72.0,390.0,2775,19181,1.91,0.441,0.456,0.514,134,107,55,49,1512,3711,3711,3711,66,76,885,961,1427,553,80,574,1462,1210,123,63,834,2344,2463,1934
78310,Reggie Theus,1026,34603.0,7057,14973,0.471,238.0,945.0,0.252,4663,5644,0.826,1182.0,2167.0,3349.0,6453,1206.0,236.0,3493.0,3008,19015,1.847,0.345,0.479,0.545,137,88,76,76,1104,701,576,1948,52,61,634,336,505,542,33,96,668,15,77,64,903,2876,1824,1038
107,Dale Ellis,1209,34780.0,7323,15275,0.479,1719.0,4266.0,0.403,2639,3365,0.784,1533.0,2668.0,4201.0,1746,974.0,183.0,1771.0,2480,19004,0.986,0.55,0.536,0.567,45,84,63,67,955,35,45,170,230,246,1252,212,366,386,554,194,834,179,219,65,2413,1652,546,599
